YEAR,MONTHS,MONTHLY REVENUE
2003,JANUARY," 1,262,103,233.58 "
,FEBRUARY," 134,255,123.95 "
,MARCH," 165,018,702.12 "
,APRIL," 76,814,733.79 "
,MAY," 28,103,159.46 "
,JUNE," 47,005,850.76 "
,JULY," 21,882,741.76 "
,AUGUST," 44,685,693.96 "
,SEPTEMBER," 63,575,909.90 "
,OCTOBER," 67,416,957.19 "
,NOVEMBER," 101,528,031.53 "
,DECEMBER," 24,936,171.76 "
2004,JANUARY," 1,246,721,434.50 "
,FEBRUARY," 239,186,372.80 "
,MARCH," 185,216,620.55 "
,APRIL," 218,964,769.55 "
,MAY," 75,792,284.68 "
,JUNE," 52,759,261.29 "
,JULY," 24,561,140.19 "
,AUGUST," 50,155,114.47 "
,SEPTEMBER," 71,357,458.44 "
,OCTOBER," 24,339,381.81 "
,NOVEMBER," 69,705,472.86 "
,DECEMBER," 27,968,819.49 "
2005,JANUARY," 1,425,913,192.09 "
,FEBRUARY," 273,564,723.36 "
,MARCH," 211,837,877.60 "
,APRIL," 250,436,661.21 "
,MAY," 86,685,939.29 "
,JUNE," 60,342,370.47 "
,JULY," 28,091,322.44 "
,AUGUST," 57,363,928.61 "
,SEPTEMBER," 81,613,693.75 "
,OCTOBER," 27,837,690.64 "
,NOVEMBER," 79,724,267.63 "
,DECEMBER," 31,988,788.82 "
2006,JANUARY," 1,533,373,523.26 "
,FEBRUARY," 294,181,234.89 "
,MARCH," 227,802,501.96 "
,APRIL," 269,310,185.00 "
,MAY," 93,218,805.24 "
,JUNE," 64,889,920.18 "
,JULY," 30,208,353.71 "
,AUGUST," 61,687,015.60 "
,SEPTEMBER," 87,764,302.78 "
,OCTOBER," 29,935,607.59 "
,NOVEMBER," 85,732,484.86 "
,DECEMBER," 34,399,542.75 "
2007,JANUARY," 2,030,932,426.86 "
,FEBRUARY," 389,639,054.19 "
,MARCH," 301,721,323.04 "
,APRIL," 356,697,686.05 "
,MAY," 123,467,042.76 "
,JUNE," 85,945,818.86 "
,JULY," 40,010,554.62 "
,AUGUST," 81,703,615.20 "
,SEPTEMBER," 116,242,628.25 "
,OCTOBER," 39,649,306.09 "
,NOVEMBER," 113,551,512.98 "
,DECEMBER," 45,561,727.64 "
2008,JANUARY," 2,915,077,657.66 "
,FEBRUARY," 559,264,348.92 "
,MARCH," 433,073,151.31 "
,APRIL," 511,982,300.04 "
,MAY," 177,217,130.93 "
,JUNE," 123,361,433.89 "
,JULY," 57,428,731.90 "
,AUGUST," 117,272,431.16 "
,SEPTEMBER," 166,847,642.99 "
,OCTOBER," 56,910,217.59 "
,NOVEMBER," 162,984,978.78 "
,DECEMBER," 65,396,550.15 "
2009,JANUARY," 3,150,056,139.62 "
,FEBRUARY," 604,347,568.93 "
,MARCH," 467,981,500.42 "
,APRIL," 553,251,976.46 "
,MAY," 191,502,182.68 "
,JUNE," 133,305,305.89 "
,JULY," 62,057,925.49 "
,AUGUST," 126,725,483.12 "
,SEPTEMBER," 180,296,834.96 "
,OCTOBER," 61,497,614.98 "
,NOVEMBER," 176,122,810.57 "
,DECEMBER," 70,668,010.63 "
2010,JANUARY," 3,578,904,997.14 "
,FEBRUARY," 686,623,670.18 "
,MARCH," 531,701,831.16 "
,APRIL," 628,571,498.70 "
